,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
5560,ins_862131991,R3_2,j_480817,1,Terminated,367158,367312,m_368,1,1,103.0,198.0,0.27,0.37
5562,ins_1324653828,R3_2,j_480817,1,Terminated,367162,367339,m_3853,1,1,94.0,191.0,0.26,0.36
5571,ins_390249177,R3_2,j_480817,1,Terminated,367183,367363,m_100,1,1,98.0,196.0,0.27,0.36
5572,ins_755276894,R3_2,j_480817,1,Terminated,367182,367363,m_1617,1,1,95.0,186.0,0.27,0.36
5599,ins_263356490,R3_2,j_480817,1,Terminated,367162,367356,m_547,1,1,88.0,186.0,0.26,0.36
5606,ins_374616354,R3_2,j_480817,1,Terminated,367158,367345,m_3755,1,1,91.0,187.0,0.26,0.36
5614,ins_752893990,R3_2,j_480817,1,Terminated,367161,367355,m_975,1,1,89.0,179.0,0.26,0.36
5626,ins_999259508,R3_2,j_480817,1,Terminated,367184,367366,m_1426,1,1,95.0,187.0,0.27,0.36
5639,ins_455960636,R3_2,j_480817,1,Terminated,367183,367374,m_81,1,1,93.0,177.0,0.27,0.36
5641,ins_1306320787,R3_2,j_480817,1,Terminated,367162,367368,m_2961,1,1,85.0,200.0,0.26,0.36
5643,ins_1270858145,R3_2,j_480817,1,Terminated,367184,367441,m_3716,1,1,73.0,153.0,0.27,0.36
5663,ins_247951875,R3_2,j_480817,1,Terminated,367158,367360,m_3438,1,1,89.0,177.0,0.27,0.36
5666,ins_573292436,R3_2,j_480817,1,Terminated,367182,367346,m_597,1,1,102.0,201.0,0.27,0.36
5676,ins_780810311,R3_2,j_480817,1,Terminated,367160,367344,m_1259,1,1,93.0,189.0,0.26,0.36
5679,ins_1183646109,R3_2,j_480817,1,Terminated,367158,367318,m_1114,1,1,103.0,199.0,0.27,0.36
5681,ins_818286118,R3_2,j_480817,1,Terminated,367159,367369,m_981,1,1,85.0,180.0,0.26,0.36
5688,ins_19314109,R3_2,j_480817,1,Terminated,367184,367359,m_3961,1,1,95.0,194.0,0.27,0.36
5689,ins_997169814,R3_2,j_480817,1,Terminated,367158,367398,m_2541,1,1,76.0,161.0,0.26,0.37
5691,ins_573291953,R3_2,j_480817,1,Terminated,367158,367330,m_3062,1,1,96.0,194.0,0.27,0.36
5693,ins_671716126,R3_2,j_480817,1,Terminated,367160,367360,m_608,1,1,88.0,185.0,0.26,0.36
5699,ins_823584213,R3_2,j_480817,1,Terminated,367158,367343,m_2136,1,1,94.0,182.0,0.27,0.36
5700,ins_1161985852,R3_2,j_480817,1,Terminated,367160,367353,m_2142,1,1,91.0,186.0,0.26,0.36
5712,ins_462086129,R3_2,j_480817,1,Terminated,367161,367368,m_872,1,1,87.0,171.0,0.26,0.36
5714,ins_227570245,R3_2,j_480817,1,Terminated,367182,367346,m_2078,1,1,101.0,202.0,0.27,0.36
5717,ins_1224973972,R3_2,j_480817,1,Terminated,367159,367357,m_487,1,1,89.0,182.0,0.26,0.36
5728,ins_455960279,R3_2,j_480817,1,Terminated,367183,367391,m_1842,1,1,87.0,176.0,0.27,0.36
5730,ins_498023315,R3_2,j_480817,1,Terminated,367183,367371,m_977,1,1,93.0,184.0,0.27,0.36
5733,ins_1183646538,R3_2,j_480817,1,Terminated,367160,367348,m_2567,1,1,91.0,191.0,0.26,0.36
5745,ins_498023827,R3_2,j_480817,1,Terminated,367159,367359,m_1867,1,1,90.0,178.0,0.27,0.36
5747,ins_455959991,R3_2,j_480817,1,Terminated,367161,367357,m_462,1,1,89.0,181.0,0.26,0.36
5752,ins_390248945,R3_2,j_480817,1,Terminated,367184,367377,m_3626,1,1,92.0,185.0,0.27,0.36
5753,ins_1189553787,R3_2,j_480817,1,Terminated,367161,367351,m_680,1,1,91.0,190.0,0.26,0.36
5759,ins_1189865468,R3_2,j_480817,1,Terminated,367161,367392,m_664,1,1,79.0,171.0,0.26,0.36
5762,ins_818286365,R3_2,j_480817,1,Terminated,367159,367362,m_1773,1,1,87.0,180.0,0.26,0.36
5771,ins_579345811,R3_2,j_480817,1,Terminated,367162,367351,m_2941,1,1,91.0,188.0,0.26,0.36
5773,ins_1159899643,R3_2,j_480817,1,Terminated,367161,367356,m_915,1,1,89.0,182.0,0.26,0.36
5774,ins_573292038,R3_2,j_480817,1,Terminated,367160,367360,m_563,1,1,86.0,183.0,0.26,0.36
5777,ins_1240101036,R3_2,j_480817,1,Terminated,367159,367368,m_1970,1,1,85.0,181.0,0.26,0.37
5784,ins_893988717,R3_2,j_480817,1,Terminated,367158,367349,m_395,1,1,91.0,183.0,0.27,0.36
5786,ins_1240111747,R3_2,j_480817,1,Terminated,367160,367366,m_2088,1,1,86.0,191.0,0.26,0.36
5788,ins_188166143,R3_2,j_480817,1,Terminated,367158,367351,m_567,1,1,91.0,180.0,0.27,0.36
5789,ins_49213027,R3_2,j_480817,1,Terminated,367160,367377,m_3502,1,1,84.0,177.0,0.26,0.36
5801,ins_263355854,R3_2,j_480817,1,Terminated,367183,367411,m_1754,1,1,82.0,164.0,0.27,0.36
5803,ins_93770483,R3_2,j_480817,1,Terminated,367159,367325,m_1759,1,1,99.0,200.0,0.27,0.37
5804,ins_1246100722,R3_2,j_480817,1,Terminated,367160,367349,m_3405,1,1,91.0,188.0,0.26,0.36
5806,ins_485670175,R3_2,j_480817,1,Terminated,367181,367336,m_2929,1,1,105.0,202.0,0.27,0.36
5810,ins_455960361,R3_2,j_480817,1,Terminated,367161,367379,m_1465,1,1,84.0,176.0,0.26,0.36
5811,ins_1106132033,R3_2,j_480817,1,Terminated,367184,367349,m_643,1,1,101.0,201.0,0.27,0.36
5817,ins_943453154,R3_2,j_480817,1,Terminated,367161,367365,m_3948,1,1,85.0,180.0,0.26,0.36
5821,ins_1243290924,R3_2,j_480817,1,Terminated,367182,367365,m_2282,1,1,94.0,185.0,0.27,0.36
5824,ins_977428802,R3_2,j_480817,1,Terminated,367158,367318,m_259,1,1,104.0,200.0,0.27,0.36
5828,ins_1078520978,R3_2,j_480817,1,Terminated,367162,367344,m_2172,1,1,93.0,193.0,0.26,0.36
5834,ins_1261588063,R3_2,j_480817,1,Terminated,367183,367364,m_3342,1,1,95.0,187.0,0.27,0.36
5843,ins_1246108235,R3_2,j_480817,1,Terminated,367184,367403,m_2881,1,1,84.0,177.0,0.27,0.36
5850,ins_552916808,R3_2,j_480817,1,Terminated,367158,367342,m_1420,1,1,94.0,189.0,0.27,0.37
5852,ins_699470230,R3_2,j_480817,1,Terminated,367161,367373,m_331,1,1,84.0,179.0,0.26,0.36
5857,ins_350871290,R3_2,j_480817,1,Terminated,367161,367367,m_2321,1,1,87.0,181.0,0.26,0.36
5860,ins_299386650,R3_2,j_480817,1,Terminated,367162,367370,m_1676,1,1,86.0,174.0,0.26,0.36
5866,ins_188166316,R3_2,j_480817,1,Terminated,367183,367383,m_1620,1,1,88.0,187.0,0.27,0.36
5870,ins_1246106408,R3_2,j_480817,1,Terminated,367158,367334,m_491,1,1,97.0,188.0,0.27,0.36
5872,ins_263355777,R3_2,j_480817,1,Terminated,367158,367340,m_3284,1,1,94.0,190.0,0.27,0.36
5879,ins_825992891,R3_2,j_480817,1,Terminated,367184,367372,m_2901,1,1,93.0,194.0,0.27,0.36
5880,ins_634282552,R3_2,j_480817,1,Terminated,367162,367355,m_2555,1,1,91.0,191.0,0.26,0.37
5881,ins_915846814,R3_2,j_480817,1,Terminated,367158,367331,m_9,1,1,98.0,197.0,0.27,0.36
5883,ins_579345246,R3_2,j_480817,1,Terminated,367161,367379,m_3918,1,1,82.0,179.0,0.26,0.36
5887,ins_247952207,R3_2,j_480817,1,Terminated,367160,367346,m_2742,1,1,93.0,193.0,0.26,0.36
5897,ins_989671710,R3_2,j_480817,1,Terminated,367161,367381,m_876,1,1,82.0,177.0,0.26,0.36
5903,ins_12433171,R3_2,j_480817,1,Terminated,367161,367370,m_3255,1,1,87.0,176.0,0.26,0.36
5905,ins_1106131959,R3_2,j_480817,1,Terminated,367160,367340,m_3901,1,1,93.0,190.0,0.26,0.36
5911,ins_1108491394,R3_2,j_480817,1,Terminated,367160,367326,m_1351,1,1,98.0,201.0,0.26,0.36
5912,ins_1243291189,R3_2,j_480817,1,Terminated,367161,367354,m_2517,1,1,90.0,184.0,0.26,0.36
5914,ins_780810230,R3_2,j_480817,1,Terminated,367159,367349,m_2147,1,1,91.0,187.0,0.26,0.36
5916,ins_498023480,R3_2,j_480817,1,Terminated,367160,367378,m_607,1,1,84.0,174.0,0.26,0.36
5927,ins_64859818,R3_2,j_480817,1,Terminated,367160,367344,m_2742,1,1,93.0,190.0,0.26,0.36
5931,ins_136703501,R3_2,j_480817,1,Terminated,367161,367335,m_2295,1,1,97.0,199.0,0.26,0.36
5936,ins_337815595,R3_2,j_480817,1,Terminated,367184,367378,m_3942,1,1,91.0,178.0,0.27,0.37
5937,ins_19314462,R3_2,j_480817,1,Terminated,367183,367391,m_1656,1,1,87.0,173.0,0.27,0.36
5950,ins_211924639,R3_2,j_480817,1,Terminated,367182,367361,m_1155,1,1,97.0,189.0,0.27,0.36
5951,ins_299387165,R3_2,j_480817,1,Terminated,367160,367351,m_2414,1,1,90.0,189.0,0.26,0.36
5957,ins_1224974058,R3_2,j_480817,1,Terminated,367161,367362,m_324,1,1,90.0,183.0,0.26,0.36
5959,ins_1143648165,R3_2,j_480817,1,Terminated,367183,367393,m_1673,1,1,88.0,176.0,0.27,0.36
5966,ins_999258783,R3_2,j_480817,1,Terminated,367159,367318,m_985,1,1,104.0,197.0,0.27,0.36
5983,ins_263580432,R3_2,j_480817,1,Terminated,367160,367325,m_3368,1,1,100.0,200.0,0.26,0.36
5984,ins_263356901,R3_2,j_480817,1,Terminated,367183,367337,m_370,1,1,104.0,201.0,0.27,0.36
5985,ins_348524469,R3_2,j_480817,1,Terminated,367184,367366,m_3509,1,1,96.0,200.0,0.27,0.36
5997,ins_506232852,R3_2,j_480817,1,Terminated,367158,367332,m_3914,1,1,97.0,192.0,0.27,0.36
5998,ins_218055672,R3_2,j_480817,1,Terminated,367162,367368,m_327,1,1,87.0,174.0,0.26,0.36
6003,ins_337816081,R3_2,j_480817,1,Terminated,367160,367324,m_2880,1,1,98.0,201.0,0.26,0.36
6006,ins_823591100,R3_2,j_480817,1,Terminated,367184,367377,m_3243,1,1,91.0,173.0,0.27,0.36
6015,ins_93770651,R3_2,j_480817,1,Terminated,367184,367374,m_3330,1,1,92.0,195.0,0.27,0.36
6038,ins_1189856380,R3_2,j_480817,1,Terminated,367160,367370,m_2337,1,1,85.0,171.0,0.26,0.36
6042,ins_416687110,R3_2,j_480817,1,Terminated,367160,367352,m_891,1,1,89.0,187.0,0.26,0.36
6049,ins_19313775,R3_2,j_480817,1,Terminated,367182,367355,m_2960,1,1,98.0,191.0,0.27,0.36
