,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
2555,ins_1064081158,M3_2,j_945557,1,Terminated,199931,200223,m_1210,1,1,87.0,98.0,0.11,0.18
2556,ins_956451349,M3_2,j_945557,1,Terminated,199931,200077,m_3998,1,1,100.0,106.0,0.08,0.12
2557,ins_1119091504,M3_2,j_945557,1,Terminated,199931,199987,m_897,1,1,79.0,93.0,0.04,0.06
2562,ins_784144342,M3_2,j_945557,1,Terminated,199931,200075,m_381,1,1,98.0,108.0,0.08,0.11
2564,ins_209248314,M3_2,j_945557,1,Terminated,199932,200074,m_1344,1,1,92.0,105.0,0.07,0.11
2565,ins_764003883,M3_2,j_945557,1,Terminated,199932,200072,m_2994,1,1,93.0,99.0,0.07,0.12
2566,ins_1037786142,M3_2,j_945557,1,Terminated,199931,200085,m_1655,1,1,90.0,103.0,0.08,0.12
2567,ins_532748125,M3_2,j_945557,1,Terminated,199931,199974,m_3355,1,1,99.0,105.0,0.04,0.06
2570,ins_992484651,M3_2,j_945557,1,Terminated,199931,200131,m_2664,1,1,87.0,100.0,0.08,0.13
2571,ins_979491644,M3_2,j_945557,1,Terminated,199932,200191,m_1244,1,1,96.0,111.0,0.11,0.18
2580,ins_1200441252,M3_2,j_945557,1,Terminated,199931,199979,m_2242,1,1,88.0,97.0,0.04,0.06
2581,ins_1281801909,M3_2,j_945557,1,Terminated,199931,200096,m_1574,1,1,87.0,102.0,0.08,0.11
2583,ins_262304275,M3_2,j_945557,1,Terminated,199931,200014,m_2485,1,1,86.0,98.0,0.05,0.08
2584,ins_1020226752,M3_2,j_945557,1,Terminated,199932,200343,m_159,1,1,93.0,107.0,0.14,0.24
2586,ins_542325684,M3_2,j_945557,1,Terminated,199931,200089,m_2274,1,1,89.0,100.0,0.08,0.12
2588,ins_1037785982,M3_2,j_945557,1,Terminated,199931,200081,m_3403,1,1,98.0,106.0,0.08,0.12
2591,ins_1101274951,M3_2,j_945557,1,Terminated,199932,200386,m_2850,1,1,84.0,96.0,0.14,0.24
2592,ins_342046237,M3_2,j_945557,1,Terminated,199932,200371,m_110,1,1,87.0,99.0,0.14,0.24
2593,ins_53982064,M3_2,j_945557,1,Terminated,199931,200114,m_2692,1,1,92.0,102.0,0.08,0.13
2595,ins_1144869672,M3_2,j_945557,1,Terminated,199932,200218,m_482,1,1,90.0,103.0,0.11,0.18
2597,ins_899474644,M3_2,j_945557,1,Terminated,199931,200013,m_3008,1,1,87.0,103.0,0.05,0.08
2601,ins_763995397,M3_2,j_945557,1,Terminated,199932,200080,m_1098,1,1,89.0,101.0,0.07,0.12
2603,ins_316496290,M3_2,j_945557,1,Terminated,199933,200199,m_33,1,1,97.0,109.0,0.11,0.18
2604,ins_785516830,M3_2,j_945557,1,Terminated,199932,200414,m_1005,1,1,83.0,93.0,0.14,0.24
2605,ins_343660644,M3_2,j_945557,1,Terminated,199931,200009,m_880,1,1,95.0,113.0,0.05,0.08
2606,ins_1190909908,M3_2,j_945557,1,Terminated,199931,200008,m_1809,1,1,98.0,109.0,0.05,0.08
2610,ins_188944331,M3_2,j_945557,1,Terminated,199933,200472,m_1006,1,1,73.0,91.0,0.14,0.24
2611,ins_103011846,M3_2,j_945557,1,Terminated,199932,200198,m_978,1,1,95.0,111.0,0.11,0.18
2613,ins_21675442,M3_2,j_945557,1,Terminated,199932,200194,m_333,1,1,95.0,101.0,0.11,0.18
2616,ins_1109543221,M3_2,j_945557,1,Terminated,199931,200014,m_659,1,1,89.0,108.0,0.05,0.08
2617,ins_1109542826,M3_2,j_945557,1,Terminated,199931,200016,m_804,1,1,86.0,100.0,0.05,0.08
2623,ins_26247892,M3_2,j_945557,1,Terminated,199933,200439,m_274,1,1,79.0,94.0,0.14,0.24
2628,ins_44399145,M3_2,j_945557,1,Terminated,199931,200092,m_2577,1,1,88.0,99.0,0.08,0.12
2629,ins_298035457,M3_2,j_945557,1,Terminated,199931,200108,m_2895,1,1,98.0,112.0,0.08,0.13
2632,ins_514523677,M3_2,j_945557,1,Terminated,199931,200226,m_2385,1,1,86.0,101.0,0.11,0.18
2634,ins_397774601,M3_2,j_945557,1,Terminated,199932,200211,m_3778,1,1,91.0,100.0,0.11,0.18
2636,ins_586258995,M3_2,j_945557,1,Terminated,199932,200337,m_3042,1,1,94.0,106.0,0.14,0.24
2637,ins_839115242,M3_2,j_945557,1,Terminated,199931,200100,m_722,1,1,79.0,97.0,0.08,0.12
2638,ins_425009568,M3_2,j_945557,1,Terminated,199931,200013,m_1127,1,1,89.0,99.0,0.05,0.08
2639,ins_288449170,M3_2,j_945557,1,Terminated,199931,200071,m_910,1,1,99.0,111.0,0.08,0.12
2640,ins_482095744,M3_2,j_945557,1,Terminated,199931,200121,m_1897,1,1,91.0,100.0,0.08,0.13
2641,ins_127889570,M3_2,j_945557,1,Terminated,199932,200078,m_3020,1,1,89.0,100.0,0.07,0.12
2645,ins_704201482,M3_2,j_945557,1,Terminated,199932,200392,m_490,1,1,86.0,102.0,0.14,0.24
2646,ins_99600576,M3_2,j_945557,1,Terminated,199930,200004,m_2929,1,1,99.0,110.0,0.05,0.08
2648,ins_288448766,M3_2,j_945557,1,Terminated,199931,200084,m_3946,1,1,92.0,100.0,0.08,0.12
2652,ins_44400226,M3_2,j_945557,1,Terminated,199970,200111,m_539,1,1,99.0,106.0,0.08,0.12
2653,ins_702815184,M3_2,j_945557,1,Terminated,199931,200085,m_2420,1,1,93.0,107.0,0.08,0.12
2656,ins_1000559825,M3_2,j_945557,1,Terminated,199931,199977,m_3979,1,1,87.0,99.0,0.04,0.06
2657,ins_135403026,M3_2,j_945557,1,Terminated,199931,200083,m_2438,1,1,99.0,110.0,0.08,0.12
2658,ins_479122894,M3_2,j_945557,1,Terminated,199933,200251,m_3438,1,1,80.0,95.0,0.11,0.18
2660,ins_1028189434,M3_2,j_945557,1,Terminated,199931,200003,m_2015,1,1,98.0,103.0,0.05,0.08
2661,ins_1029506154,M3_2,j_945557,1,Terminated,199932,200364,m_2468,1,1,88.0,106.0,0.14,0.24
2670,ins_8660449,M3_2,j_945557,1,Terminated,199931,199978,m_1877,1,1,88.0,101.0,0.04,0.06
2671,ins_532748480,M3_2,j_945557,1,Terminated,199931,199979,m_1700,1,1,89.0,100.0,0.04,0.06
2672,ins_343660553,M3_2,j_945557,1,Terminated,199931,200014,m_3028,1,1,87.0,95.0,0.05,0.08
2676,ins_515205594,M3_2,j_945557,1,Terminated,199932,200216,m_3987,1,1,88.0,98.0,0.11,0.18
2677,ins_171358642,M3_2,j_945557,1,Terminated,199931,199987,m_2578,1,1,77.0,87.0,0.04,0.06
2681,ins_18263510,M3_2,j_945557,1,Terminated,199931,200002,m_4029,1,1,97.0,104.0,0.05,0.08
