,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
208,ins_487393934,M1,j_1081689,1,Terminated,264730,264980,m_2965,1,1,91.0,327.0,0.62,1.0
209,ins_1350147708,M1,j_1081689,1,Terminated,264950,264988,m_3375,1,1,92.0,151.0,1.0,1.01
210,ins_790745551,M1,j_1081689,1,Terminated,264733,264984,m_1191,1,1,97.0,324.0,0.66,1.01
211,ins_1123304083,M1,j_1081689,1,Terminated,264937,264972,m_344,1,1,90.0,147.0,1.0,1.01
212,ins_1218294171,M1,j_1081689,1,Terminated,264733,264996,m_2421,1,1,92.0,243.0,0.64,1.01
213,ins_651735340,M1,j_1081689,1,Terminated,264730,264972,m_2988,1,1,90.0,327.0,0.61,1.0
214,ins_99891334,M1,j_1081689,1,Terminated,264733,265015,m_2563,1,1,86.0,308.0,0.65,1.01
215,ins_694873498,M1,j_1081689,1,Terminated,264733,264963,m_2592,1,1,96.0,300.0,0.6,1.0
216,ins_1008688016,M1,j_1081689,1,Terminated,264730,264968,m_3095,1,1,91.0,223.0,0.61,1.0
217,ins_402204136,M1,j_1081689,1,Terminated,264730,265071,m_118,1,1,58.0,278.0,0.7,1.0
218,ins_1042239755,M1,j_1081689,1,Terminated,264940,264977,m_1422,1,1,89.0,143.0,1.0,1.01
219,ins_906962789,M1,j_1081689,1,Terminated,264730,264976,m_2476,1,1,96.0,239.0,0.64,1.01
220,ins_825446925,M1,j_1081689,1,Terminated,264730,265005,m_2246,1,1,88.0,300.0,0.64,1.01
221,ins_788256596,M1,j_1081689,1,Terminated,264733,264973,m_1768,1,1,92.0,241.0,0.6,1.0
222,ins_273816650,M1,j_1081689,1,Terminated,264733,264965,m_187,1,1,91.0,300.0,0.58,1.0
223,ins_999775337,M1,j_1081689,1,Terminated,264733,264990,m_1092,1,1,88.0,237.0,0.6,1.0
224,ins_595584461,M1,j_1081689,1,Terminated,264732,265002,m_629,1,1,84.0,298.0,0.61,1.0
225,ins_1201502510,M1,j_1081689,1,Terminated,264730,264962,m_1681,1,1,88.0,321.0,0.57,1.0
226,ins_99891848,M1,j_1081689,1,Terminated,264730,264968,m_3500,1,1,93.0,224.0,0.61,1.0
227,ins_910228313,M1,j_1081689,1,Terminated,264952,265004,m_2778,1,1,96.0,141.0,1.02,1.03
228,ins_85488313,M1,j_1081689,1,Terminated,264936,264972,m_4022,1,1,91.0,198.0,1.0,1.01
229,ins_331565163,M1,j_1081689,1,Terminated,264730,264944,m_3673,1,1,97.0,308.0,0.58,1.0
230,ins_80958625,M1,j_1081689,1,Terminated,264733,264947,m_136,1,1,89.0,304.0,0.54,0.96
231,ins_1284256630,M1,j_1081689,1,Terminated,264948,264989,m_251,1,1,82.0,169.0,0.99,1.0
232,ins_1178703688,M1,j_1081689,1,Terminated,264733,264963,m_319,1,1,98.0,324.0,0.61,1.0
233,ins_425311718,M1,j_1081689,1,Terminated,264730,264965,m_1200,1,1,95.0,232.0,0.61,1.0
234,ins_239442653,M1,j_1081689,1,Terminated,264955,264988,m_498,1,1,84.0,192.0,1.0,1.01
235,ins_776205642,M1,j_1081689,1,Terminated,264730,264976,m_3772,1,1,88.0,318.0,0.6,1.0
236,ins_1299332188,M1,j_1081689,1,Terminated,264729,264974,m_2171,1,1,91.0,235.0,0.61,1.0
237,ins_235495805,M1,j_1081689,1,Terminated,264930,264972,m_3581,1,1,90.0,186.0,1.0,1.01
