,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
57,ins_1304642727,M5_4,j_1274904,1,Terminated,386335,386779,m_2533,1,1,86.0,138.0,0.08,0.11
58,ins_1304642547,M5_4,j_1274904,1,Terminated,386336,386786,m_3789,1,1,85.0,132.0,0.08,0.11
59,ins_225821088,M5_4,j_1274904,1,Terminated,386335,386769,m_3049,1,1,93.0,140.0,0.08,0.11
60,ins_479434532,M5_4,j_1274904,1,Terminated,386336,386818,m_1072,1,1,82.0,141.0,0.09,0.12
62,ins_235401654,M5_4,j_1274904,1,Terminated,386336,386815,m_1819,1,1,84.0,122.0,0.08,0.11
63,ins_464366187,M5_4,j_1274904,1,Terminated,386336,386837,m_1271,1,1,79.0,133.0,0.08,0.12
64,ins_225821254,M5_4,j_1274904,1,Terminated,386336,386800,m_2959,1,1,87.0,140.0,0.08,0.11
65,ins_571161166,M5_4,j_1274904,1,Terminated,386336,386870,m_2758,1,1,76.0,103.0,0.08,0.11
66,ins_388498645,M5_4,j_1274904,1,Terminated,386336,386892,m_2939,1,1,75.0,128.0,0.09,0.12
67,ins_489845890,M5_4,j_1274904,1,Terminated,386335,386785,m_2753,1,1,89.0,136.0,0.09,0.12
68,ins_1073449562,M5_4,j_1274904,1,Terminated,386335,386856,m_3653,1,1,76.0,109.0,0.08,0.11
69,ins_540972760,M5_4,j_1274904,1,Terminated,386335,386782,m_2938,1,1,89.0,155.0,0.09,0.12
70,ins_1253827588,M5_4,j_1274904,1,Terminated,386335,386730,m_263,1,1,97.0,154.0,0.08,0.11
71,ins_311184963,M5_4,j_1274904,1,Terminated,386335,386702,m_1449,1,1,99.0,167.0,0.08,0.11
73,ins_387822291,M5_4,j_1274904,1,Terminated,386336,386792,m_1663,1,1,86.0,145.0,0.09,0.12
74,ins_591198484,M5_4,j_1274904,1,Terminated,386336,386858,m_1168,1,1,78.0,132.0,0.09,0.12
75,ins_22601820,M5_4,j_1274904,1,Terminated,386335,386773,m_399,1,1,88.0,158.0,0.08,0.12
76,ins_1029577290,M5_4,j_1274904,1,Terminated,386335,386742,m_4015,1,1,93.0,167.0,0.09,0.12
77,ins_1104769108,M5_4,j_1274904,1,Terminated,386335,386781,m_1286,1,1,86.0,130.0,0.08,0.11
78,ins_642125583,M5_4,j_1274904,1,Terminated,386335,386738,m_1605,1,1,97.0,172.0,0.09,0.12
79,ins_25752304,M5_4,j_1274904,1,Terminated,386335,386726,m_330,1,1,98.0,148.0,0.08,0.11
80,ins_669964576,M5_4,j_1274904,1,Terminated,386336,386753,m_3717,1,1,93.0,147.0,0.09,0.12
81,ins_642124974,M5_4,j_1274904,1,Terminated,386336,386981,m_3683,1,1,67.0,102.0,0.08,0.11
82,ins_555192566,M5_4,j_1274904,1,Terminated,386335,386815,m_3504,1,1,81.0,130.0,0.08,0.11
83,ins_1072855255,M5_4,j_1274904,1,Terminated,386335,386798,m_2610,1,1,86.0,135.0,0.08,0.11
84,ins_669965776,M5_4,j_1274904,1,Terminated,386336,386815,m_1434,1,1,83.0,130.0,0.09,0.12
85,ins_423628815,M5_4,j_1274904,1,Terminated,386336,386867,m_443,1,1,75.0,138.0,0.09,0.12
86,ins_1186140905,M5_4,j_1274904,1,Terminated,386336,386808,m_2520,1,1,81.0,128.0,0.09,0.12
88,ins_563266886,M5_4,j_1274904,1,Terminated,386336,386869,m_754,1,1,76.0,117.0,0.08,0.11
89,ins_423842616,M5_4,j_1274904,1,Terminated,386335,386768,m_3284,1,1,90.0,154.0,0.08,0.11
90,ins_551166501,M5_4,j_1274904,1,Terminated,386336,386907,m_841,1,1,71.0,113.0,0.09,0.12
91,ins_1223311944,M5_4,j_1274904,1,Terminated,386336,386839,m_961,1,1,77.0,131.0,0.08,0.11
92,ins_21596956,M5_4,j_1274904,1,Terminated,386336,387027,m_3384,1,1,61.0,128.0,0.08,0.12
93,ins_1073458367,M5_4,j_1274904,1,Terminated,386335,386771,m_2500,1,1,89.0,139.0,0.08,0.11
94,ins_473884975,M5_4,j_1274904,1,Terminated,386335,386783,m_265,1,1,85.0,162.0,0.09,0.12
95,ins_555192477,M5_4,j_1274904,1,Terminated,386335,386762,m_775,1,1,91.0,138.0,0.09,0.12
96,ins_1191998995,M5_4,j_1274904,1,Terminated,386338,386815,m_827,1,1,83.0,162.0,0.09,0.12
97,ins_1264457285,M5_4,j_1274904,1,Terminated,386335,386738,m_2808,1,1,95.0,139.0,0.09,0.12
99,ins_21597400,M5_4,j_1274904,1,Terminated,386336,386779,m_3707,1,1,86.0,122.0,0.08,0.11
100,ins_11330795,M5_4,j_1274904,1,Terminated,386336,386770,m_3748,1,1,86.0,131.0,0.08,0.11
102,ins_225821979,M5_4,j_1274904,1,Terminated,386336,386832,m_3849,1,1,82.0,122.0,0.08,0.11
103,ins_52821252,M5_4,j_1274904,1,Terminated,386335,386779,m_2561,1,1,87.0,141.0,0.09,0.12
105,ins_1235544561,M5_4,j_1274904,1,Terminated,386335,386771,m_3572,1,1,90.0,140.0,0.08,0.12
107,ins_215533245,M5_4,j_1274904,1,Terminated,386336,386825,m_2081,1,1,82.0,130.0,0.09,0.12
108,ins_26995406,M5_4,j_1274904,1,Terminated,386336,386831,m_3948,1,1,82.0,116.0,0.09,0.12
109,ins_775104282,M5_4,j_1274904,1,Terminated,386335,386799,m_1691,1,1,86.0,140.0,0.08,0.11
110,ins_545677450,M5_4,j_1274904,1,Terminated,386335,386770,m_1904,1,1,89.0,200.0,0.08,0.11
112,ins_1029577371,M5_4,j_1274904,1,Terminated,386335,386713,m_2770,1,1,96.0,167.0,0.09,0.11
113,ins_870351212,M5_4,j_1274904,1,Terminated,386335,386720,m_119,1,1,98.0,144.0,0.09,0.12
114,ins_1176732946,M5_4,j_1274904,1,Terminated,386336,386865,m_2528,1,1,78.0,128.0,0.08,0.11
